,sentence,sentence_opposite,DP,DP_opposite,D,D_opposite,A,A_opposite,N,N_opposite,ADV,ADV_opposite,V,V_opposite,other_args,other_args_opposite,label,pairID,slen
9658,That mean oncologist ever bores the waitresses nowadays.,Those mean oncologists ever bore the waitresses nowadays.,That oncologist,Those oncologists,That,Those,mean,mean,oncologist,oncologists,ever,ever,bores,bore,"['the', 'waitresses']","['the', 'waitresses']",0,9658,8
9659,That normal actor rarely admires the cups nowadays.,Those normal actors rarely admire the cups nowadays.,That actor,Those actors,That,Those,normal,normal,actor,actors,rarely,rarely,admires,admire,"['the', 'cups']","['the', 'cups']",0,9659,8
9663,Those old teachers scarcely purchase the juice nowadays.,That old teacher scarcely purchases the juice nowadays.,Those teachers,That teacher,Those,That,old,old,teachers,teacher,scarcely,scarcely,purchase,purchases,"['the', 'juice']","['the', 'juice']",1,9663,8
9664,That disorganized guest scarcely forgets the book nowadays.,Those disorganized guests scarcely forget the book nowadays.,That guest,Those guests,That,Those,disorganized,disorganized,guest,guests,scarcely,scarcely,forgets,forget,"['the', 'book']","['the', 'book']",0,9664,8
9665,This young cashier scarcely questions the student nowadays.,These young cashiers scarcely question the student nowadays.,This cashier,These cashiers,This,These,young,young,cashier,cashiers,scarcely,scarcely,questions,question,"['the', 'student']","['the', 'student']",0,9665,8
9667,Those boring partners sometimes ride the bicycle nowadays.,That boring partner sometimes rides the bicycle nowadays.,Those partners,That partner,Those,That,boring,boring,partners,partner,sometimes,sometimes,ride,rides,"['the', 'bicycle']","['the', 'bicycle']",1,9667,8
9668,That sick electrician seldom throws the cup nowadays.,Those sick electricians seldom throw the cup nowadays.,That electrician,Those electricians,That,Those,sick,sick,electrician,electricians,seldom,seldom,throws,throw,"['the', 'cup']","['the', 'cup']",0,9668,8
9669,These great sweaters seldom impress the oncologists nowadays.,This great sweater seldom impresses the oncologists nowadays.,These sweaters,This sweater,These,This,great,great,sweaters,sweater,seldom,seldom,impress,impresses,"['the', 'oncologists']","['the', 'oncologists']",1,9669,8
9670,These wet closets scarcely worry the adults nowadays.,This wet closet scarcely worries the adults nowadays.,These closets,This closet,These,This,wet,wet,closets,closet,scarcely,scarcely,worry,worries,"['the', 'adults']","['the', 'adults']",1,9670,8
9671,These upset dermatologists hardly drink the soda nowadays.,This upset dermatologist hardly drinks the soda nowadays.,These dermatologists,This dermatologist,These,This,upset,upset,dermatologists,dermatologist,hardly,hardly,drink,drinks,"['the', 'soda']","['the', 'soda']",1,9671,8
9672,This beautiful hairdresser rarely forgives the hospital nowadays.,These beautiful hairdressers rarely forgive the hospital nowadays.,This hairdresser,These hairdressers,This,These,beautiful,beautiful,hairdresser,hairdressers,rarely,rarely,forgives,forgive,"['the', 'hospital']","['the', 'hospital']",0,9672,8
9673,This hot patient often fires the lawyers nowadays.,These hot patients often fire the lawyers nowadays.,This patient,These patients,This,These,hot,hot,patient,patients,often,often,fires,fire,"['the', 'lawyers']","['the', 'lawyers']",0,9673,8
9675,That fake pedestrian sometimes praises the driver nowadays.,Those fake pedestrians sometimes praise the driver nowadays.,That pedestrian,Those pedestrians,That,Those,fake,fake,pedestrian,pedestrians,sometimes,sometimes,praises,praise,"['the', 'driver']","['the', 'driver']",0,9675,8
9676,These hot guys always buy the casseroles nowadays.,This hot guy always buys the casseroles nowadays.,These guys,This guy,These,This,hot,hot,guys,guy,always,always,buy,buys,"['the', 'casseroles']","['the', 'casseroles']",1,9676,8
9680,This bad donation scarcely disturbs the handyman nowadays.,These bad donations scarcely disturb the handyman nowadays.,This donation,These donations,This,These,bad,bad,donation,donations,scarcely,scarcely,disturbs,disturb,"['the', 'handyman']","['the', 'handyman']",0,9680,8
9683,That smart lady hardly resembles the painting nowadays.,Those smart ladies hardly resemble the painting nowadays.,That lady,Those ladies,That,Those,smart,smart,lady,ladies,hardly,hardly,resembles,resemble,"['the', 'painting']","['the', 'painting']",0,9683,8
9684,That troubled doctor scarcely eats the tomato nowadays.,Those troubled doctors scarcely eat the tomato nowadays.,That doctor,Those doctors,That,Those,troubled,troubled,doctor,doctors,scarcely,scarcely,eats,eat,"['the', 'tomato']","['the', 'tomato']",0,9684,8
9685,That uncertain lawyer seldom descends the hills nowadays.,Those uncertain lawyers seldom descend the hills nowadays.,That lawyer,Those lawyers,That,Those,uncertain,uncertain,lawyer,lawyers,seldom,seldom,descends,descend,"['the', 'hills']","['the', 'hills']",0,9685,8
9686,This hidden hospital scarcely hurts the patients nowadays.,These hidden hospitals scarcely hurt the patients nowadays.,This hospital,These hospitals,This,These,hidden,hidden,hospital,hospitals,scarcely,scarcely,hurts,hurt,"['the', 'patients']","['the', 'patients']",0,9686,8
9687,Those ordinary turtles sometimes hinder the men nowadays.,That ordinary turtle sometimes hinders the men nowadays.,Those turtles,That turtle,Those,That,ordinary,ordinary,turtles,turtle,sometimes,sometimes,hinder,hinders,"['the', 'men']","['the', 'men']",1,9687,8
9688,These delighted guys scarcely get the carts nowadays.,This delighted guy scarcely gets the carts nowadays.,These guys,This guy,These,This,delighted,delighted,guys,guy,scarcely,scarcely,get,gets,"['the', 'carts']","['the', 'carts']",1,9688,8
9689,That boring adult barely throws the wheelbarrows nowadays.,Those boring adults barely throw the wheelbarrows nowadays.,That adult,Those adults,That,Those,boring,boring,adult,adults,barely,barely,throws,throw,"['the', 'wheelbarrows']","['the', 'wheelbarrows']",0,9689,8
9691,Those concealed ladies sometimes shake the truck nowadays.,That concealed lady sometimes shakes the truck nowadays.,Those ladies,That lady,Those,That,concealed,concealed,ladies,lady,sometimes,sometimes,shake,shakes,"['the', 'truck']","['the', 'truck']",1,9691,8
9692,That fake candle scarcely underwhelms the waitress nowadays.,Those fake candles scarcely underwhelm the waitress nowadays.,That candle,Those candles,That,Those,fake,fake,candle,candles,scarcely,scarcely,underwhelms,underwhelm,"['the', 'waitress']","['the', 'waitress']",0,9692,8
9694,This uncertain driver barely likes the fish nowadays.,These uncertain drivers barely like the fish nowadays.,This driver,These drivers,This,These,uncertain,uncertain,driver,drivers,barely,barely,likes,like,"['the', 'fish']","['the', 'fish']",0,9694,8
9697,This unusual lawyer sometimes cleans the restaurants nowadays.,These unusual lawyers sometimes clean the restaurants nowadays.,This lawyer,These lawyers,This,These,unusual,unusual,lawyer,lawyers,sometimes,sometimes,cleans,clean,"['the', 'restaurants']","['the', 'restaurants']",0,9697,8
9699,These small tutors sometimes hear the senator nowadays.,This small tutor sometimes hears the senator nowadays.,These tutors,This tutor,These,This,small,small,tutors,tutor,sometimes,sometimes,hear,hears,"['the', 'senator']","['the', 'senator']",1,9699,8
9702,Those upset hairdressers seldom investigate the legislature nowadays.,That upset hairdresser seldom investigates the legislature nowadays.,Those hairdressers,That hairdresser,Those,That,upset,upset,hairdressers,hairdresser,seldom,seldom,investigate,investigates,"['the', 'legislature']","['the', 'legislature']",1,9702,8
9703,This tiny actress often watches the teacher nowadays.,These tiny actresses often watch the teacher nowadays.,This actress,These actresses,This,These,tiny,tiny,actress,actresses,often,often,watches,watch,"['the', 'teacher']","['the', 'teacher']",0,9703,8
9704,This delighted senator seldom breaks the ship nowadays.,These delighted senators seldom break the ship nowadays.,This senator,These senators,This,These,delighted,delighted,senator,senators,seldom,seldom,breaks,break,"['the', 'ship']","['the', 'ship']",0,9704,8
9705,This real pedestrian often leads the doctors nowadays.,These real pedestrians often lead the doctors nowadays.,This pedestrian,These pedestrians,This,These,real,real,pedestrian,pedestrians,often,often,leads,lead,"['the', 'doctors']","['the', 'doctors']",0,9705,8
9706,This authentic tutor always builds the closets nowadays.,These authentic tutors always build the closets nowadays.,This tutor,These tutors,This,These,authentic,authentic,tutor,tutors,always,always,builds,build,"['the', 'closets']","['the', 'closets']",0,9706,8
9709,These unconvinced doctors rarely catch the doctor nowadays.,This unconvinced doctor rarely catches the doctor nowadays.,These doctors,This doctor,These,This,unconvinced,unconvinced,doctors,doctor,rarely,rarely,catch,catches,"['the', 'doctor']","['the', 'doctor']",1,9709,8
9710,Those thin podiatrists seldom criticize the pedestrian nowadays.,That thin podiatrist seldom criticizes the pedestrian nowadays.,Those podiatrists,That podiatrist,Those,That,thin,thin,podiatrists,podiatrist,seldom,seldom,criticize,criticizes,"['the', 'pedestrian']","['the', 'pedestrian']",1,9710,8
9711,These troubled tutors ever shake the person nowadays.,This troubled tutor ever shakes the person nowadays.,These tutors,This tutor,These,This,troubled,troubled,tutors,tutor,ever,ever,shake,shakes,"['the', 'person']","['the', 'person']",1,9711,8
9712,This organized organization sometimes annoys the doctor nowadays.,These organized organizations sometimes annoy the doctor nowadays.,This organization,These organizations,This,These,organized,organized,organization,organizations,sometimes,sometimes,annoys,annoy,"['the', 'doctor']","['the', 'doctor']",0,9712,8
9713,This short customer often leaves the malls nowadays.,These short customers often leave the malls nowadays.,This customer,These customers,This,These,short,short,customer,customers,often,often,leaves,leave,"['the', 'malls']","['the', 'malls']",0,9713,8
9714,That exposed lady scarcely breaks the car nowadays.,Those exposed ladies scarcely break the car nowadays.,That lady,Those ladies,That,Those,exposed,exposed,lady,ladies,scarcely,scarcely,breaks,break,"['the', 'car']","['the', 'car']",0,9714,8
9715,Those unconvinced cashiers ever aid the child nowadays.,That unconvinced cashier ever aids the child nowadays.,Those cashiers,That cashier,Those,That,unconvinced,unconvinced,cashiers,cashier,ever,ever,aid,aids,"['the', 'child']","['the', 'child']",1,9715,8
9716,These old partners often conceal the actresses nowadays.,This old partner often conceals the actresses nowadays.,These partners,This partner,These,This,old,old,partners,partner,often,often,conceal,conceals,"['the', 'actresses']","['the', 'actresses']",1,9716,8
9717,This popular actor sometimes holds the associate nowadays.,These popular actors sometimes hold the associate nowadays.,This actor,These actors,This,These,popular,popular,actor,actors,sometimes,sometimes,holds,hold,"['the', 'associate']","['the', 'associate']",0,9717,8
9719,These scared lawyers barely sing the melodies nowadays.,This scared lawyer barely sings the melodies nowadays.,These lawyers,This lawyer,These,This,scared,scared,lawyers,lawyer,barely,barely,sing,sings,"['the', 'melodies']","['the', 'melodies']",1,9719,8
9721,These unusual dermatologists rarely leave the dermatologists nowadays.,This unusual dermatologist rarely leaves the dermatologists nowadays.,These dermatologists,This dermatologist,These,This,unusual,unusual,dermatologists,dermatologist,rarely,rarely,leave,leaves,"['the', 'dermatologists']","['the', 'dermatologists']",1,9721,8
9724,This clever podiatrist sometimes hates the scarves nowadays.,These clever podiatrists sometimes hate the scarves nowadays.,This podiatrist,These podiatrists,This,These,clever,clever,podiatrist,podiatrists,sometimes,sometimes,hates,hate,"['the', 'scarves']","['the', 'scarves']",0,9724,8
9725,That blue mouth hardly disgusts the library nowadays.,Those blue mouths hardly disgust the library nowadays.,That mouth,Those mouths,That,Those,blue,blue,mouth,mouths,hardly,hardly,disgusts,disgust,"['the', 'library']","['the', 'library']",0,9725,8
9726,Those confident teachers seldom attack the associates nowadays.,That confident teacher seldom attacks the associates nowadays.,Those teachers,That teacher,Those,That,confident,confident,teachers,teacher,seldom,seldom,attack,attacks,"['the', 'associates']","['the', 'associates']",1,9726,8
9729,This big dermatologist seldom teaches the tutors nowadays.,These big dermatologists seldom teach the tutors nowadays.,This dermatologist,These dermatologists,This,These,big,big,dermatologist,dermatologists,seldom,seldom,teaches,teach,"['the', 'tutors']","['the', 'tutors']",0,9729,8
